13:Pedestrian, (934, 350, 956, 388)
12:Pedestrian, (753, 498, 775, 533)
11:Pedestrian, (879, 405, 903, 448)
10:Pedestrian, (756, 488, 778, 522)
9:Pedestrian, (1328, 228, 1350, 266)
8:Biker, (905, 329, 929, 373)
7:Biker, (946, 479, 973, 524)
6:Biker, (667, 459, 694, 503)
5:Biker, (908, 385, 932, 431)
4:Pedestrian, (915, 206, 932, 242)
3:Pedestrian, (928, 220, 945, 254)
2:Pedestrian, (980, 550, 1000, 590)
1:Pedestrian, (903, 628, 924, 669)
13:Pedestrian, (934, 350, 956, 388)
12:Pedestrian, (753, 498, 775, 533)
11:Pedestrian, (879, 405, 903, 448)
10:Pedestrian, (756, 488, 778, 522)
9:Pedestrian, (1328, 228, 1350, 266)
8:Biker, (905, 329, 929, 373)
7:Biker, (946, 479, 973, 524)
6:Biker, (667, 459, 694, 503)
5:Biker, (908, 385, 932, 431)
4:Pedestrian, (915, 206, 932, 242)
3:Pedestrian, (928, 220, 945, 254)
2:Pedestrian, (980, 550, 1000, 590)
1:Pedestrian, (903, 628, 924, 669)
13:Biker, (934, 350, 956, 388)
12:Pedestrian, (752, 498, 774, 532)
11:Biker, (879, 404, 903, 448)
10:Pedestrian, (755, 487, 777, 520)
9:Pedestrian, (1328, 227, 1349, 264)
8:Biker, (906, 329, 929, 373)
7:Biker, (945, 478, 974, 524)
6:Biker, (668, 460, 697, 506)
5:Biker, (907, 383, 932, 430)
4:Pedestrian, (915, 206, 932, 242)
3:Pedestrian, (927, 220, 945, 254)
2:Pedestrian, (979, 550, 999, 589)
1:Pedestrian, (903, 629, 923, 669)
13:Pedestrian, (934, 350, 956, 388)
12:Pedestrian, (752, 499, 773, 533)
11:Biker, (878, 407, 903, 451)
10:Pedestrian, (755, 487, 776, 520)
9:Pedestrian, (1327, 227, 1349, 263)
8:Biker, (906, 329, 930, 373)
7:Biker, (947, 478, 977, 524)
6:Biker, (672, 461, 700, 505)
5:Biker, (906, 384, 932, 433)
4:Pedestrian, (914, 205, 931, 242)
3:Pedestrian, (927, 219, 945, 254)
2:Pedestrian, (978, 550, 998, 589)
1:Pedestrian, (903, 630, 923, 670)
12:Pedestrian, (751, 500, 772, 534)
11:Biker, (877, 408, 903, 452)
10:Pedestrian, (755, 487, 775, 519)
9:Pedestrian, (1326, 227, 1348, 264)
8:Biker, (906, 329, 930, 372)
7:Biker, (949, 478, 977, 523)
6:Biker, (675, 461, 703, 504)
5:Biker, (905, 386, 931, 434)
4:Pedestrian, (913, 205, 931, 242)
3:Pedestrian, (927, 219, 944, 253)
2:Pedestrian, (977, 548, 998, 587)
1:Pedestrian, (904, 630, 925, 669)
12:Pedestrian, (750, 501, 770, 535)
11:Biker, (876, 409, 902, 453)
10:Pedestrian, (754, 488, 773, 519)
9:Pedestrian, (1326, 226, 1348, 263)
8:Biker, (905, 329, 929, 372)
7:Biker, (951, 479, 979, 524)
6:Biker, (678, 461, 706, 503)
5:Biker, (904, 386, 931, 435)
4:Pedestrian, (913, 205, 930, 242)
3:Pedestrian, (927, 219, 944, 253)
2:Pedestrian, (978, 547, 999, 586)
1:Pedestrian, (902, 631, 923, 670)
13:Biker, (932, 351, 954, 389)
12:Pedestrian, (747, 503, 767, 536)
11:Biker, (876, 409, 902, 453)
10:Pedestrian, (753, 488, 772, 519)
9:Pedestrian, (1325, 227, 1347, 264)
8:Biker, (904, 329, 929, 373)
7:Biker, (952, 479, 981, 525)
6:Biker, (681, 459, 708, 502)
5:Biker, (903, 386, 931, 436)
4:Pedestrian, (913, 206, 930, 242)
3:Pedestrian, (926, 219, 943, 254)
2:Pedestrian, (978, 546, 999, 585)
1:Pedestrian, (902, 633, 922, 671)
13:Biker, (933, 351, 955, 390)
12:Pedestrian, (747, 503, 768, 536)
11:Biker, (874, 410, 901, 454)
10:Pedestrian, (752, 488, 771, 519)
9:Pedestrian, (1325, 227, 1347, 264)
8:Biker, (904, 330, 928, 374)
7:Biker, (955, 480, 982, 524)
6:Biker, (683, 459, 711, 503)
5:Biker, (906, 386, 932, 435)
4:Pedestrian, (913, 205, 930, 242)
3:Pedestrian, (927, 219, 944, 253)
2:Pedestrian, (979, 546, 999, 585)
1:Pedestrian, (902, 633, 922, 672)
14:Pedestrian, (874, 412, 896, 450)
13:Biker, (932, 351, 954, 390)
12:Pedestrian, (747, 504, 768, 536)
10:Pedestrian, (752, 488, 771, 519)
9:Pedestrian, (1325, 228, 1347, 265)
8:Biker, (903, 331, 927, 374)
7:Biker, (957, 481, 985, 523)
6:Biker, (686, 461, 714, 504)
5:Biker, (907, 387, 933, 435)
4:Pedestrian, (913, 206, 930, 242)
3:Pedestrian, (927, 219, 944, 253)
2:Pedestrian, (978, 547, 998, 585)
1:Pedestrian, (901, 633, 922, 672)
14:Pedestrian, (874, 411, 897, 450)
13:Biker, (933, 351, 954, 388)
12:Pedestrian, (748, 504, 769, 536)
10:Pedestrian, (752, 488, 771, 519)
9:Pedestrian, (1324, 228, 1346, 265)
8:Biker, (903, 331, 927, 374)
7:Biker, (960, 481, 988, 524)
6:Biker, (688, 462, 716, 503)
5:Biker, (907, 388, 932, 437)
4:Pedestrian, (913, 205, 931, 242)
3:Pedestrian, (927, 219, 944, 253)
2:Pedestrian, (978, 546, 998, 584)
1:Pedestrian, (901, 634, 921, 672)
15:Pedestrian, (1087, 221, 1107, 263)
14:Pedestrian, (872, 411, 897, 451)
13:Biker, (933, 350, 955, 388)
12:Pedestrian, (748, 504, 769, 537)
11:Biker, (872, 409, 898, 453)
10:Pedestrian, (752, 489, 771, 518)
9:Pedestrian, (1323, 228, 1345, 265)
8:Biker, (903, 332, 926, 374)
7:Biker, (962, 481, 990, 523)
6:Biker, (691, 461, 718, 502)
5:Biker, (909, 391, 934, 439)
4:Pedestrian, (913, 205, 931, 242)
3:Pedestrian, (928, 219, 945, 253)
2:Pedestrian, (978, 545, 998, 583)
1:Pedestrian, (902, 634, 922, 673)
15:Pedestrian, (1086, 221, 1106, 261)
14:Pedestrian, (871, 411, 896, 453)
13:Biker, (933, 350, 954, 387)
12:Pedestrian, (748, 505, 768, 537)
11:Biker, (870, 410, 896, 454)
10:Pedestrian, (752, 489, 771, 519)
